datasetName,substringLength,sampleSize,profileParam,useAllLanguages,actual,null,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,0,1,merged-average,true,zh-tw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
udhr,5,100,merged-average,true,af,0,35,0,0,0,1,0,4,4,0,4,0,3,0,0,5,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,13,7,0,2,2,2,0,0,0,0,4,2,1,0,0,0,0,6,1,0,0,0,0,0
udhr,5,100,merged-average,true,ar,0,0,87,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
udhr,5,100,merged-average,true,bg,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
udhr,5,100,merged-average,true,bn,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,ca,1,1,0,0,0,15,1,6,2,0,3,14,0,0,2,9,0,0,0,1,3,2,8,0,0,0,0,2,0,0,0,0,3,5,0,0,7,8,0,0,0,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0
udhr,5,100,merged-average,true,cs,0,2,0,0,0,0,44,0,0,0,1,1,0,0,1,1,0,0,0,3,3,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,23,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
udhr,5,100,merged-average,true,da,0,4,0,0,0,6,0,31,2,0,2,0,1,0,1,4,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,5,17,0,0,0,1,0,0,1,2,0,2,5,2,0,0,0,5,2,0,0,0,0,0
udhr,5,100,merged-average,true,de,0,7,0,0,0,2,0,9,41,0,4,0,3,0,1,4,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,8,2,0,2,1,2,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0
udhr,5,100,merged-average,true,el,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,en,0,1,0,0,0,5,0,7,2,0,35,3,0,0,2,5,0,0,0,2,1,2,8,0,0,0,0,1,0,0,0,0,5,3,0,0,3,5,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,1,0,0
udhr,5,100,merged-average,true,es,0,0,0,0,0,7,1,1,1,0,1,30,0,0,4,9,0,0,0,3,3,2,10,0,0,0,1,1,0,0,0,0,1,0,0,1,9,4,0,0,2,3,3,0,0,0,0,0,0,2,0,0,0,1,0,0
udhr,5,100,merged-average,true,et,0,6,0,0,0,2,0,0,0,0,3,0,42,0,8,2,0,0,0,2,0,3,4,0,0,0,2,2,0,0,0,0,4,2,0,0,4,0,0,0,0,1,6,3,0,0,0,0,0,3,1,0,0,0,0,0
udhr,5,100,merged-average,true,fa,0,0,23,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
udhr,5,100,merged-average,true,fi,0,5,0,0,0,0,0,1,1,0,2,1,5,0,57,3,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,3,1,0,1,0,1,0,0,1,1,2,0,1,2,0,0,0,2,2,0,0,0,0,0
udhr,5,100,merged-average,true,fr,0,1,0,0,0,5,0,9,1,0,8,4,0,0,6,41,0,0,0,1,2,0,7,0,0,0,1,0,0,0,0,0,3,0,0,0,1,5,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
udhr,5,100,merged-average,true,gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,he,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,hr,1,1,0,0,0,1,1,0,0,0,1,1,2,0,3,2,0,0,0,44,1,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,3,17,1,3,1,2,0,0,0,2,1,0,0,1,0,0
udhr,5,100,merged-average,true,hu,1,1,0,0,0,2,0,0,2,0,0,1,2,0,6,5,0,0,0,0,53,2,3,0,0,0,1,1,0,0,0,0,5,3,0,1,1,1,0,0,1,2,2,0,0,1,0,0,0,2,1,0,0,0,0,0
udhr,5,100,merged-average,true,id,0,6,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,5,2,0,0,0,1,6,0,0,4,0,0,0,23,0,0,0,0,0,0
udhr,5,100,merged-average,true,it,0,3,0,0,0,5,0,7,2,0,0,6,1,0,2,4,0,0,0,0,0,1,40,0,0,0,0,2,0,0,0,0,1,1,0,0,6,6,0,0,3,1,2,1,3,1,0,0,0,0,2,0,0,0,0,0
udhr,5,100,merged-average,true,ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
udhr,5,100,merged-average,true,kn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,ko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,lt,0,5,0,0,0,0,2,0,0,0,1,1,5,0,3,1,0,0,0,1,1,0,4,0,0,0,40,12,0,0,0,0,1,0,0,0,1,7,0,0,1,2,4,0,2,0,0,0,0,3,3,0,0,0,0,0
udhr,5,100,merged-average,true,lv,1,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,4,0,1,0,0,0,0,4,62,0,0,0,0,0,2,0,3,4,2,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0
udhr,5,100,merged-average,true,mk,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
udhr,5,100,merged-average,true,ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,nl,0,16,0,0,0,1,0,7,7,0,3,1,1,0,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,33,2,0,0,4,2,0,0,1,3,1,3,2,0,0,0,0,6,0,0,0,0,0,0
udhr,5,100,merged-average,true,no,0,5,0,0,0,3,1,23,1,0,0,1,0,0,4,4,0,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,5,21,0,0,1,6,0,0,0,1,0,4,5,1,0,0,0,5,0,0,0,0,0,0
udhr,5,100,merged-average,true,pa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udhr,5,100,merged-average,true,pl,0,2,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,0,0,2,1,0,55,2,5,0,0,1,1,0,1,1,4,0,0,0,4,0,0,0,1,0,0
udhr,5,100,merged-average,true,pt,0,0,0,0,0,4,1,3,8,0,2,8,0,0,0,6,0,0,0,1,0,1,5,0,0,0,4,0,0,0,0,0,1,1,0,0,37,9,0,0,3,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0
udhr,5,100,merged-average,true,ro,0,0,0,0,0,4,0,2,4,0,3,7,2,0,0,2,0,0,0,1,0,2,4,0,0,0,1,1,0,0,0,0,2,2,0,0,2,56,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0
udhr,5,100,merged-average,true,ru,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
udhr,5,100,merged-average,true,si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
